Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2024,1487.60,1511.45,1487.60,1498.80,1503.697902015626587660,373978,15437,562349934.00,205646,54.99,23.85,11.20
27-March-2024,1495.00,1499.00,1482.00,1484.10,1489.745782976135983220,146371,5463,218055580.00,95231,65.06,17.00,-10.90
26-March-2024,1497.85,1507.75,1488.00,1492.45,1496.648694588590803212,222382,16336,332827730.00,123856,55.70,19.75,-5.40
22-March-2024,1517.95,1529.00,1497.65,1508.85,1511.955362717565445652,6022096,29452,9105140342.00,5702460,94.69,31.35,-9.10
21-March-2024,1560.55,1576.45,1544.00,1555.20,1558.436168890683982414,128746,4715,200642423.00,79315,61.61,32.45,-5.35
20-March-2024,1562.00,1573.85,1552.60,1554.60,1561.196688409433015554,129545,7916,202245225.00,62902,48.56,21.25,-7.40
19-March-2024,1595.60,1599.00,1558.10,1561.95,1577.868300028314271250,233098,9936,367797945.00,186939,80.20,40.90,-33.65
18-March-2024,1632.05,1632.65,1599.00,1602.30,1616.433984138119641859,168202,9667,271887429.00,106606,63.38,33.65,-29.75
15-March-2024,1644.45,1647.00,1618.50,1634.90,1631.291905396724973289,309799,10800,505372601.00,171170,55.25,28.50,-9.55
14-March-2024,1612.05,1657.00,1607.25,1652.45,1640.467835087141097169,254874,17668,418112599.00,167270,65.63,49.75,40.40
13-March-2024,1612.30,1624.85,1598.30,1611.70,1611.612160973342628556,240984,16874,388372745.00,175974,73.02,26.55,-0.60
12-March-2024,1598.50,1624.95,1598.05,1612.20,1617.381175047980386283,180282,6314,291584713.00,123422,68.46,26.90,13.70
11-March-2024,1608.90,1612.25,1588.00,1599.45,1601.158678865616605374,201766,11782,323059382.00,113617,56.31,24.25,-9.45
7-March-2024,1617.30,1628.45,1605.00,1616.95,1618.048046444121915820,172250,8637,278708776.00,56141,32.59,23.45,-0.35
6-March-2024,1600.10,1619.95,1576.10,1617.30,1583.430266245224844383,257845,11258,408279577.00,210537,81.65,43.85,17.20
5-March-2024,1633.65,1636.60,1602.10,1606.20,1610.025076275527247622,314321,19240,506064692.00,202070,64.29,34.50,-27.45
