Date,Open Price,High Price,Low Price,Close Price,,EMA_26,EMA_12,,MACD_values,signal_line,Histogram value,,BUY,SELL
28-Mar-24,3856.45,3914.65,3840.5,3883.55,,,,,,,,,,
27-Mar-24,3896.95,3896.95,3828.55,3837.5,,,,,,,,,,
26-Mar-24,3897.55,3946,3872,3877.1,,,,,,,,,,
22-Mar-24,3899,3938.4,3856,3913.1,,,,,,,,,,
21-Mar-24,3985.4,4008.45,3948.85,3974.05,,,,,,,,,,
20-Mar-24,3986,4018,3960.5,3970.45,,,,,,,,,,
19-Mar-24,4055.65,4055.7,3965.9,3977.55,,,,,,,,,,
18-Mar-24,4217.5,4254.45,4116.7,4144.75,,,,,,,,,,
15-Mar-24,4202.85,4238.8,4177,4217.5,,,,,,,,,,
14-Mar-24,4143.05,4213.7,4086.8,4207.15,,,,,,,,,,
13-Mar-24,4200.05,4241.05,4132.8,4148.4,,,,,,,,,,
12-Mar-24,4117.3,4229.3,4117.3,4191.35,,,,,,,,,,
11-Mar-24,4080.35,4153.05,4080.35,4121.5,,,4035.688462,,,,,,,
07-Mar-24,4060.1,4124,4039,4110.1,,,4047.136391,,,,,,,
06-Mar-24,4016.15,4071.95,3959.35,4065.3,,,4049.930792,,,,,,,
05-Mar-24,4060,4062,3980.5,4011.35,,,4043.995286,,,,,,,
04-Mar-24,4095.45,4114.1,4075.45,4081.6,,,4049.780626,,,,,,,
02-Mar-24,4110.05,4127.8,4094.05,4106.9,,,4058.568222,,,,,,,
01-Mar-24,4095.4,4139.9,4087.85,4096.3,,,4064.373111,,,,,,,
29-Feb-24,4100,4138,4068.8,4092.15,,,4068.646479,,,,,,,
28-Feb-24,4103,4154.25,4091.3,4116.4,,,4075.993174,,,,,,,
27-Feb-24,3999.8,4124.65,3997.05,4102.8,,,4080.117301,,,,,,,
26-Feb-24,4039,4050.85,3983.3,4000.4,,,4067.853101,,,,,,,
23-Feb-24,4121.05,4128.95,4045.5,4051.95,,,4065.40647,,,,,,,
22-Feb-24,3968.35,4093.8,3968.35,4086.45,,,4068.643936,,,,,,,
21-Feb-24,4018.85,4063,3980,3989.3,,,4056.437177,,,,,,,
20-Feb-24,4089.9,4098.85,4011.1,4029.95,,4052.033333,4052.362227,,0.32889322,,,,,
19-Feb-24,4119.15,4121.65,4055.1,4101.6,,4055.704938,4059.937269,,4.23233035,,,,,
16-Feb-24,4112.05,4147,4100.9,4129.2,,4061.149017,4070.593073,,9.444056531,,,,,
15-Feb-24,4122.3,4145,4081.7,4102,,4064.175016,4075.424908,,11.24989264,,,,,
14-Feb-24,4102.05,4114.5,4049.55,4101,,4066.902792,4079.359538,,12.45674551,,,,,
13-Feb-24,4120.05,4169.35,4082.4,4149.15,,4072.995178,4090.096532,,17.10135394,,,,,
12-Feb-24,4130.9,4159.35,4106.1,4119.05,,4076.406646,4094.550912,,18.14426534,,,,,
09-Feb-24,4130,4184.55,4098.4,4134.25,,4080.691339,4100.658464,,19.96712453,,,,,
08-Feb-24,4090,4157.6,4085.75,4135.55,,4084.754944,4106.026392,,21.27144868,12.68845675,8.582991933,,,
07-Feb-24,4140.15,4156.05,4072.85,4083.2,,4084.639763,4102.51464,,17.87487702,13.7257408,4.149136219,,FALSE,FALSE
06-Feb-24,4000,4149.75,3987.1,4133.45,,4088.255336,4107.273926,,19.01859009,14.78431066,4.234279426,,FALSE,FALSE
