"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2021","-","-","-","     7631.19","       26984994","         2794.53"
"04-Jan-2021","-","-","-","     7694.92","       39679982","         3429.96"
"05-Jan-2021","-","-","-","     7717.07","       36507396","         3633.70"
"06-Jan-2021","-","-","-","     7691.19","       42680618","         3125.01"
"07-Jan-2021","-","-","-","     7660.01","       29244191","         2918.09"
"08-Jan-2021","-","-","-","     7782.72","       52841314","         3893.66"
"11-Jan-2021","-","-","-","     7835.53","       40055823","         3466.50"
"12-Jan-2021","-","-","-","     7755.94","       31108118","         2975.69"
"13-Jan-2021","-","-","-","     7680.83","       33066927","         3117.25"
"14-Jan-2021","-","-","-","     7742.29","       36313097","         3133.17"
"15-Jan-2021","-","-","-","     7638.54","       37310481","         3504.40"
"18-Jan-2021","-","-","-","     7462.09","       32635202","         3338.61"
"19-Jan-2021","-","-","-","     7574.29","       24245549","         2701.28"
"20-Jan-2021","-","-","-","     7583.14","       22302940","         2401.07"
"21-Jan-2021","-","-","-","     7468.36","       25916651","         2580.78"
"22-Jan-2021","-","-","-","     7400.12","       58025219","         4106.35"
"25-Jan-2021","-","-","-","     7501.19","       67047685","         5551.64"
"27-Jan-2021","-","-","-","     7350.70","       47269530","         4184.52"
"28-Jan-2021","-","-","-","     7295.73","       40527289","         3492.28"
"29-Jan-2021","-","-","-","     7167.96","       57975275","         5678.30"
"01-Feb-2021","-","-","-","     7164.47","       50788934","         4950.21"
"02-Feb-2021","-","-","-","     7293.66","       49977425","         5625.78"
"03-Feb-2021","-","-","-","     7479.46","       76666982","         7631.08"
"04-Feb-2021","-","-","-","     7498.89","       33356540","         3306.66"
"05-Feb-2021","-","-","-","     7580.26","       56153740","         5657.80"
"08-Feb-2021","-","-","-","     7593.54","       33750882","         4356.45"
"09-Feb-2021","-","-","-","     7541.08","       38582264","         4168.78"
"10-Feb-2021","-","-","-","     7571.28","       35486357","         3447.39"
"11-Feb-2021","-","-","-","     7575.50","       39829296","         3328.47"
"12-Feb-2021","-","-","-","     7489.80","       36382771","         2913.36"
"15-Feb-2021","-","-","-","     7527.75","       30273092","         3658.20"
"16-Feb-2021","-","-","-","     7575.09","       35760494","         3950.26"
"17-Feb-2021","-","-","-","     7484.93","       36570298","         3746.95"
"18-Feb-2021","-","-","-","     7421.87","       31686323","         3182.22"
"19-Feb-2021","-","-","-","     7307.99","       36562936","         3692.96"
"22-Feb-2021","-","-","-","     7155.68","       30712335","         3261.39"
"23-Feb-2021","-","-","-","     7162.00","       38165902","         3310.71"
"24-Feb-2021","-","-","-","     7183.61","       14671725","         1706.28"
"25-Feb-2021","-","-","-","     7239.13","       33718312","         3517.09"
"26-Feb-2021","-","-","-","     7135.57","       50706058","         5175.80"
"01-Mar-2021","-","-","-","     7238.57","       26292705","         2241.71"
"02-Mar-2021","-","-","-","     7319.99","       28983605","         3063.14"
"03-Mar-2021","-","-","-","     7379.32","       27792221","         2550.22"
"04-Mar-2021","-","-","-","     7371.88","       35304133","         3125.39"
"05-Mar-2021","-","-","-","     7266.17","       26278188","         2504.72"
"08-Mar-2021","-","-","-","     7295.58","       23311292","         2113.46"
"09-Mar-2021","-","-","-","     7251.83","       25423354","         2005.69"
"10-Mar-2021","-","-","-","     7329.69","       29382770","         2281.89"
"12-Mar-2021","-","-","-","     7281.77","       24647624","         2408.36"
"15-Mar-2021","-","-","-","     7214.61","       25636866","         2354.23"
"16-Mar-2021","-","-","-","     7235.99","       38202226","         2749.82"
"17-Mar-2021","-","-","-","     7096.12","       29936624","         2437.64"
"18-Mar-2021","-","-","-","     6956.38","       30806094","         2590.04"
"19-Mar-2021","-","-","-","     7026.11","       34750932","         3778.62"
"22-Mar-2021","-","-","-","     7112.85","       34473855","         2667.54"
"23-Mar-2021","-","-","-","     7159.38","       24694519","         2133.49"
"24-Mar-2021","-","-","-","     7146.66","       37467277","         2856.36"
"25-Mar-2021","-","-","-","     7074.38","       30986640","         2807.05"
"26-Mar-2021","-","-","-","     7118.01","       28329642","         2458.82"
"30-Mar-2021","-","-","-","     7294.99","       27103647","         2785.22"
"31-Mar-2021","-","-","-","     7328.48","       27692802","         2539.68"
"01-Apr-2021","-","-","-","     7386.47","       21870332","         1992.93"
"05-Apr-2021","-","-","-","     7400.64","       38194047","         2949.15"
"06-Apr-2021","-","-","-","     7542.36","       47427085","         3521.31"
"07-Apr-2021","-","-","-","     7616.85","       37272754","         3225.56"
"08-Apr-2021","-","-","-","     7637.21","       33244422","         2955.52"
"09-Apr-2021","-","-","-","     7825.97","       81073441","         6758.77"
"12-Apr-2021","-","-","-","     7789.63","      113801540","        10896.10"
"13-Apr-2021","-","-","-","     7717.10","       58720487","         6381.69"
"15-Apr-2021","-","-","-","     7800.45","       69931261","         5961.34"
"16-Apr-2021","-","-","-","     7942.87","       74498763","         6108.28"
"19-Apr-2021","-","-","-","     7964.79","       86830189","         8335.65"
"20-Apr-2021","-","-","-","     8061.98","       96687514","         9023.08"
"22-Apr-2021","-","-","-","     8026.10","       78808389","         7433.75"
"23-Apr-2021","-","-","-","     7994.68","       72295669","         6615.52"
"26-Apr-2021","-","-","-","     7936.11","       69509895","         5500.53"
"27-Apr-2021","-","-","-","     7991.20","       48663609","         3968.66"
"28-Apr-2021","-","-","-","     7972.67","       52024112","         4131.64"
"29-Apr-2021","-","-","-","     7995.46","       57609898","         4456.77"
"30-Apr-2021","-","-","-","     8069.03","       59156253","         5573.61"
"03-May-2021","-","-","-","     8122.88","       59194144","         4376.97"
"04-May-2021","-","-","-","     7990.74","       51169675","         3911.59"
"05-May-2021","-","-","-","     8273.37","      120099091","        10778.19"
"06-May-2021","-","-","-","     8250.83","       70469972","         6548.27"
"07-May-2021","-","-","-","     8266.57","       66706529","         5068.27"
"10-May-2021","-","-","-","     8459.94","       80448315","         7709.47"
"11-May-2021","-","-","-","     8427.30","       67996338","         5556.77"
"12-May-2021","-","-","-","     8397.39","       64359647","         5454.66"
"14-May-2021","-","-","-","     8280.72","       66062749","         6718.12"
"17-May-2021","-","-","-","     8278.96","       44062975","         4431.81"
"18-May-2021","-","-","-","     8275.87","       29020541","         3036.94"
"19-May-2021","-","-","-","     8367.68","       39277152","         4351.41"
"20-May-2021","-","-","-","     8354.50","       42472531","         4073.24"
"21-May-2021","-","-","-","     8389.73","       31468369","         3186.27"
"24-May-2021","-","-","-","     8441.19","       51594855","         4819.62"
"25-May-2021","-","-","-","     8443.79","       26486922","         2843.85"
"26-May-2021","-","-","-","     8475.65","       34699284","         3123.94"
"27-May-2021","-","-","-","     8452.12","       48524342","         4670.69"
"28-May-2021","-","-","-","     8354.15","       55723186","         4676.71"
"31-May-2021","-","-","-","     8415.23","       49792484","         5529.27"
"01-Jun-2021","-","-","-","     8433.75","       35721239","         3516.88"
